ap,d1_gender,d2_age,d3_education,d5_language,d6_religion,District,Division_Display,Division_Source,Source_code,TVS,ur_n,Weight,Year,zPR,Options,ICM Number,English Question,Urdu Question
Total,Male,30 – 50,Education Not Asked,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 21003,Rural,7.261385832,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Education Not Asked,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 21003,Rural,7.261385832,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 21003,Rural,7.261385832,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Graduate and above,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Graduate and above,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Illiterate and up to Primary,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Illiterate and up to Primary,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Illiterate and up to Primary,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Illiterate and up to Primary,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Illiterate and up to Primary,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Illiterate and up to Primary,Saraiki,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Intermediate,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Illiterate and up to Primary,Saraiki,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,DK/NR,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Middle and Matric,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Middle and Matric,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Graduate and above,Others,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Middle and Matric,Saraiki,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Middle and Matric,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Graduate and above,Balochi,Religion Not Asked,JAFFARABAD DISTRICT,Nasirabad,Nasirabad,TVS,TVS 2908,Rural,7.261385832,2009,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,DK/NR,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,50+,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,DK/NR,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,No difference,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Male,30 – 50,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Beneficial,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
Total,Female,Under 30,Education Not Asked,Pashto,Religion Not Asked,PISHIN DISTRICT,Quetta,Quetta,TVS,TVS 21003,Urban,0.218167137,2010,Balochistan,Harmful,ICM_Q122,"In your view, Prime Minister Gilani is beneficial for PPP, harmful or no difference?","آپ کے خیال میں وزیراعظم یوسف رضا گیلانی سے پیپلز پارٹی کو فائدہ ہو رہا ہے،نقصان ہو رہا ہے یا کوئی فرق نہیں پڑھ رہا ؟"
